lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
38.86,-99.39,50.58,10.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:40:30.309563,172.14,12_fhe
38.86,-99.39,50.58,10.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:40:43.142951,184.98,12_fhw
43.27,-120.36,66.81,8.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:40:26.702305,168.54,12_cve
43.27,-120.36,66.81,8.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:42:31.720339,293.55,12_cvw
49.39,-82.32,48.64,11.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:39:46.200258,128.03,12_kap
52.16,-106.53,61.64,9.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:40:45.569423,187.4,12_sas
53.98,-122.59,71.16,8.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:42:33.041001,294.87,12_pgr
37.1,-77.95,50.46,12.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:34:27.529963,77.27,13_bks
38.86,-99.39,54.91,11.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:34:00.035062,49.78,13_fhe
38.86,-99.39,54.91,11.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:33:29.066228,18.81,13_fhw
43.27,-120.36,67.02,9.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:35:09.053538,118.8,13_cve
49.39,-82.32,62.67,12.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:33:27.389863,17.13,13_kap
52.16,-106.53,69.06,11.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:34:42.448970,92.19,13_sas
53.98,-122.59,75.96,9.63,6.696479999999999e-05,2011-02-13 17:38:00,2011-02-13 17:33:10.257000,2011-02-13 17:34:51.360509,101.1,13_pgr
37.93,-75.47,48.07,9.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:34:18.254267,531.05,15_wal
38.86,-99.39,66.76,8.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:29:21.936674,234.73,15_fhe
38.86,-99.39,66.76,8.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:29:08.973757,221.77,15_fhw
43.27,-120.36,81.47,6.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:41:52.243219,985.04,15_cve
49.39,-82.32,55.41,9.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:25:43.010554,15.81,15_kap
52.16,-106.53,70.81,7.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:36:33.000699,665.8,15_sas
53.98,-122.59,79.93,6.8,6.09628e-05,2011-08-03 13:48:00,2011-08-03 13:25:27.203000,2011-08-03 13:37:06.000135,698.8,15_pgr
