lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
56.66,-111.21,76.28,16.38,0.000158033,2011-03-09 23:23:00,2011-03-09 23:17:43.213000,2011-03-09 23:18:52,68.79,6_mcmu
62.82,-92.11,96.5,6.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:41:19,1037.53,7_rank
64.05,-139.11,112.4,4.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:48:34,1472.53,7_daws
60.02,-111.95,106.3,5.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:44:09,1207.53,7_fsmi
58.22,-103.68,103.35,5.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:45:14,1272.53,7_rabb
56.66,-111.21,107.67,5.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:43:49,1187.53,7_mcmu
69.54,-93.55,87.75,11.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:25:06,987.27,52_talo
62.82,-92.11,81.24,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:25:01,982.27,52_rank
50.02,-96.04,68.44,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:25:11,992.27,52_pina
56.38,-94.64,74.8,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:25:06,987.27,52_gill
61.76,-121.23,82.58,11.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:24:11,932.27,52_fsim
60.02,-111.95,79.46,11.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:25:01,982.27,52_fsmi
58.22,-103.68,76.88,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:34:11,1532.27,52_rabb
53.86,-94.66,72.28,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:26:16,1057.27,52_isll
56.66,-111.21,76.13,11.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:28:56,1217.27,52_mcmu
69.54,-93.55,49.61,10.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:31:55,1193.47,53_talo
50.02,-96.04,34.44,11.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:41:20,1758.47,53_pina
56.38,-94.64,38.73,11.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:31:55,1193.47,53_gill
64.05,-139.11,60.98,9.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:32:20,1218.47,53_daws
61.76,-121.23,52.56,10.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:31:55,1193.47,53_fsim
60.02,-111.95,47.79,10.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:31:55,1193.47,53_fsmi
56.66,-111.21,45.61,10.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:31:55,1193.47,53_mcmu
