lat,lon,sza,lt,fmax,event,dt,pk
53.86,-94.66,100.71,19.23,0.000137341,2012-03-07 01:14:00,164,54_isll
56.66,-111.21,91.34,18.23,0.000137341,2012-03-07 01:14:00,222,54_mcmu
69.54,-93.55,112.59,21.15,0.000114173,2012-03-05 04:09:00,-360,55_talo
56.38,-94.64,122.38,22.15,0.00011417299999999999,2012-03-05 04:09:00,360,55_gill
61.76,-121.23,108.23,21.15,0.000114173,2012-03-05 04:09:00,360,55_fsim
60.02,-111.95,113.04,21.15,0.00011417299999999999,2012-03-05 04:09:00,-360,55_fsmi
56.38,-94.64,60.97,18.13,0.000113963,2012-07-06 23:08:00,360,56_gill
64.05,-139.11,45.06,16.13,0.00011396299999999999,2012-07-06 23:08:00,-154,56_daws
61.76,-121.23,49.48,17.13,0.000113963,2012-07-06 23:08:00,360,56_fsim
60.02,-111.95,52.77,17.13,0.00011396299999999999,2012-07-06 23:08:00,360,56_fsmi
53.86,-94.66,60.88,18.13,0.000113963,2012-07-06 23:08:00,360,56_isll
56.66,-111.21,52.04,17.13,0.00011396299999999999,2012-07-06 23:08:00,360,56_mcmu
50.02,-96.04,84.76,16.2,0.000385458,2013-11-05 22:12:00,352,100_pina
56.38,-94.64,88.64,16.2,0.00038545800000000004,2013-11-05 22:12:00,-20,100_gill
64.05,-139.11,81.08,14.2,0.000385458,2013-11-05 22:12:00,-22,100_daws
61.76,-121.23,82.6,15.2,0.00038545800000000004,2013-11-05 22:12:00,360,100_fsim
58.22,-103.68,85.89,16.2,0.000385458,2013-11-05 22:12:00,-14,100_rabb
56.66,-111.21,81.93,15.2,0.00038545800000000004,2013-11-05 22:12:00,360,100_mcmu
69.54,-93.55,77.64,19.18,0.000324641,2013-05-14 01:11:00,-296,101_talo
56.38,-94.64,81.92,20.18,0.00032464099999999997,2013-05-14 01:11:00,-360,101_gill
64.05,-139.11,60.15,18.18,0.000324641,2013-05-14 01:11:00,360,101_daws
