date,Cls,start_time,max_time,end_time
2012-05-17,M5.1,2012-05-17 01:25,2012-05-17 01:47,2012-05-17 02:14
2012-10-22,M5,2012-10-22 18:38,2012-10-22 18:51,2012-10-22 19:01
2012-05-09,M4.7,2012-05-09 12:21,2012-05-09 12:32,2012-05-09 12:36
2012-07-05,M4.7,2012-07-05 03:25,2012-07-05 03:36,2012-07-05 03:39
2012-07-04,M4.6,2012-07-04 22:03,2012-07-04 22:09,2012-07-04 22:15
2012-05-09,M4.1,2012-05-09 21:01,2012-05-09 21:05,2012-05-09 21:09
2012-07-02,M3.8,2012-07-02 19:59,2012-07-02 20:07,2012-07-02 20:13
2012-11-21,M3.5,2012-11-21 15:10,2012-11-21 15:30,2012-11-21 15:38
2012-03-02,M3.3,2012-03-02 17:29,2012-03-02 17:46,2012-03-02 18:07
2012-06-03,M3.3,2012-06-03 17:48,2012-06-03 17:55,2012-06-03 17:57
2012-01-19,M3.2,2012-01-19 13:44,2012-01-19 16:05,2012-01-19 17:50
2012-07-06,M2.9,2012-07-06 01:37,2012-07-06 01:40,2012-07-06 01:42
2012-03-14,M2.8,2012-03-14 15:08,2012-03-14 15:21,2012-03-14 15:36
2012-07-01,M2.8,2012-07-01 19:11,2012-07-01 19:18,2012-07-01 19:21
2012-11-13,M2.8,2012-11-13 20:50,2012-11-13 20:54,2012-11-13 20:57
2012-07-27,M2.7,2012-07-27 17:17,2012-07-27 17:26,2012-07-27 17:32
2012-07-07,M2.6,2012-07-07 10:57,2012-07-07 11:03,2012-07-07 11:07
2012-11-13,M2.5,2012-11-13 05:42,2012-11-13 05:50,2012-11-13 05:54
2012-06-28,M2.4,2012-06-28 16:07,2012-06-28 16:12,2012-06-28 16:15
2012-07-05,M2.4,2012-07-05 01:05,2012-07-05 01:10,2012-07-05 01:15
2012-08-17,M2.4,2012-08-17 13:12,2012-08-17 13:19,2012-08-17 13:23
2012-07-04,M2.3,2012-07-04 04:28,2012-07-04 04:37,2012-07-04 04:45
2012-07-04,M2.3,2012-07-04 12:07,2012-07-04 12:24,2012-07-04 12:32
2012-07-29,M2.3,2012-07-29 06:15,2012-07-29 06:22,2012-07-29 06:29
2012-10-08,M2.3,2012-10-08 11:05,2012-10-08 11:17,2012-10-08 11:23
2012-06-29,M2.2,2012-06-29 09:13,2012-06-29 09:20,2012-06-29 09:22
2012-07-05,M2.2,2012-07-05 02:35,2012-07-05 02:42,2012-07-05 02:47
2012-11-28,M2.2,2012-11-28 21:20,2012-11-28 21:36,2012-11-28 21:48
2012-03-05,M2.1,2012-03-05 19:10,2012-03-05 19:16,2012-03-05 19:21
2013-11-05,X3.3,2013-11-05 22:07,2013-11-05 22:12,2013-11-05 22:15
2013-05-14,X3.2,2013-05-14 00:00,2013-05-14 01:11,2013-05-14 01:20
2013-05-13,X2.8,2013-05-13 15:48,2013-05-13 16:05,2013-05-13 16:16
2013-10-29,X2.3,2013-10-29 21:42,2013-10-29 21:54,2013-10-29 22:01
2013-10-25,X2.1,2013-10-25 14:51,2013-10-25 15:03,2013-10-25 15:12
2013-05-13,X1.7,2013-05-13 01:53,2013-05-13 02:17,2013-05-13 02:32
2013-10-25,X1.7,2013-10-25 07:53,2013-10-25 08:01,2013-10-25 08:09
2013-05-15,X1.2,2013-05-15 01:25,2013-05-15 01:48,2013-05-15 01:58
2013-11-08,X1.1,2013-11-08 04:20,2013-11-08 04:26,2013-11-08 04:29
2013-11-10,X1.1,2013-11-10 05:08,2013-11-10 05:14,2013-11-10 05:18
2013-10-28,X1,2013-10-28 01:41,2013-10-28 02:03,2013-10-28 02:12
2013-11-19,X1,2013-11-19 10:14,2013-11-19 10:26,2013-11-19 10:34
2013-10-24,M9.3,2013-10-24 00:21,2013-10-24 00:30,2013-10-24 00:35
2013-04-11,M6.5,2013-04-11 06:55,2013-04-11 07:16,2013-04-11 07:29
2013-12-31,M6.4,2013-12-31 21:45,2013-12-31 21:58,2013-12-31 22:20
2013-11-01,M6.3,2013-11-01 19:46,2013-11-01 19:53,2013-11-01 19:58
2013-06-07,M5.9,2013-06-07 22:11,2013-06-07 22:49,2013-06-07 23:04
2013-05-03,M5.7,2013-05-03 17:24,2013-05-03 17:32,2013-05-03 17:41
2013-10-28,M5.1,2013-10-28 04:32,2013-10-28 04:41,2013-10-28 04:46
2013-05-22,M5,2013-05-22 13:08,2013-05-22 13:32,2013-05-22 14:08
2013-11-03,M5,2013-11-03 05:16,2013-11-03 05:22,2013-11-03 05:26
2013-10-28,M4.4,2013-10-28 15:07,2013-10-28 15:15,2013-10-28 15:21
2013-10-22,M4.2,2013-10-22 21:15,2013-10-22 21:20,2013-10-22 21:22
2013-05-10,M3.9,2013-05-10 00:44,2013-05-10 00:57,2013-05-10 01:08
2013-11-06,M3.8,2013-11-06 13:39,2013-11-06 13:46,2013-11-06 13:53
2013-10-24,M3.5,2013-10-24 10:30,2013-10-24 10:33,2013-10-24 10:37
2013-10-27,M3.5,2013-10-27 12:36,2013-10-27 12:48,2013-10-27 12:52
2013-12-19,M3.5,2013-12-19 23:06,2013-12-19 23:19,2013-12-19 23:26
2013-04-12,M3.3,2013-04-12 19:52,2013-04-12 20:38,2013-04-12 20:46
2013-08-17,M3.3,2013-08-17 18:16,2013-08-17 18:24,2013-08-17 18:35
2013-12-22,M3.3,2013-12-22 15:06,2013-12-22 15:12,2013-12-22 15:19
2013-05-17,M3.2,2013-05-17 08:43,2013-05-17 08:57,2013-05-17 09:19
2013-10-24,M3.1,2013-10-24 23:58,2013-10-24 00:08,2013-10-24 00:16
2013-10-26,M3.1,2013-10-26 19:24,2013-10-26 19:27,2013-10-26 19:30
2013-12-29,M3.1,2013-12-29 07:49,2013-12-29 07:56,2013-12-29 08:00
2013-06-21,M2.9,2013-06-21 02:30,2013-06-21 03:14,2013-06-21 03:43
2013-06-23,M2.9,2013-06-23 20:48,2013-06-23 20:56,2013-06-23 20:59
2013-10-25,M2.9,2013-10-25 02:48,2013-10-25 03:02,2013-10-25 03:12
