sza,lat,fmax,dt,lt
65.72,68.3,1.8999999999999998e-06,420.0,9.933333333333334
32.5,52.2,1.8999999999999998e-06,780.0,12.983333333333333
77.15,52.2,1.1e-06,360.0,19.383333333333333
65.34,82.52,2e-06,60.0,16.116666666666667
46.45,52.2,2.7e-06,420.0,10.083333333333334
104.67,52.2,3.1e-06,4020.0,23.85
106.68,49.92,1.3e-06,300.0,1.4833333333333334
29.08,49.92,3.9e-06,60.0,12.666666666666666
43.5,49.92,1.8e-06,300.0,16.65
57.35,49.92,1.2e-06,60.0,18.116666666666667
65.97,69.1,1.1000000000000001e-05,180.0,18.583333333333332
71.19,49.92,1.1000000000000001e-05,240.0,19.583333333333332
89.58,49.92,1.5e-06,60.0,21.7
102.88,49.92,1e-06,240.0,23.85
79.59,68.3,3.5e-06,120.0,23.133333333333333
104.02,49.92,3.5e-06,120.0,0.13333333333333333
90.74,49.92,2.8999999999999998e-06,120.0,5.616666666666666
88.81,49.92,5.6e-05,60.0,5.866666666666666
62.41,62.5,1.6999999999999998e-06,240.0,8.766666666666667
40.71,52.2,2e-06,420.0,10.733333333333333
28.95,49.92,3.7e-06,180.0,12.833333333333334
46.8,69.1,4.5e-06,120.0,12.2
31.46,52.2,4.5e-06,240.0,12.2
29.4,52.2,7.4e-06,180.0,12.933333333333334
46.5,69.1,2.4999999999999998e-06,60.0,13.716666666666667
47.09,69.1,3.8e-05,240.0,14.116666666666667
46.01,68.3,3.8e-05,240.0,14.116666666666667
61.06,69.1,6.5e-06,180.0,17.65
60.41,52.2,2e-05,120.0,17.933333333333334
65.04,49.92,2e-05,180.0,18.933333333333334
47.9,62.5,9e-06,120.0,11.033333333333333
63.41,62.5,1.3000000000000001e-05,4680.0,8.65
36.26,49.32,4.6e-05,120.0,15.15
84.73,49.92,7e-06,540.0,21.083333333333332
89.72,49.92,2.2000000000000003e-05,180.0,21.7
85.22,68.3,1.1000000000000001e-05,1020.0,0.5833333333333334
107.29,49.92,1.1000000000000001e-05,1740.0,1.5833333333333333
91.79,52.2,1.8e-05,1500.0,4.783333333333333
89.75,49.92,1.8e-05,720.0,5.783333333333333
84.79,52.2,6.1e-05,240.0,5.733333333333333
51.98,47.6,6.1e-05,60.0,9.233333333333333
68.34,49.92,1.2e-05,3660.0,8.216666666666667
61.95,49.92,7.4e-06,1260.0,8.883333333333333
58.3,52.2,8.3e-06,180.0,8.75
53.6,49.92,8.3e-06,240.0,9.75
47.21,52.2,6.2e-06,60.0,9.983333333333333
42.18,49.92,6.2e-06,60.0,10.983333333333333
33.18,52.2,5.0999999999999995e-06,60.0,11.9
30.08,52.2,4.8e-06,480.0,13.733333333333333
47.57,69.1,1.6000000000000003e-05,420.0,14.233333333333333
46.12,68.3,1.6000000000000003e-05,300.0,14.233333333333333
31.72,52.2,1.6000000000000003e-05,600.0,14.233333333333333
32.36,49.92,1.6000000000000003e-05,240.0,15.233333333333333
26.7,49.32,1.6000000000000003e-05,540.0,13.233333333333333
41.33,52.2,1.6000000000000003e-05,300.0,15.75
61.75,68.3,2.9e-05,60.0,19.666666666666668
88.33,49.92,4.9999999999999996e-06,180.0,21.516666666666666
88.99,68.3,3.7999999999999996e-06,120.0,3.3
63.07,68.3,4.9999999999999996e-06,300.0,10.066666666666666
49.48,68.3,1.3000000000000001e-05,60.0,12.916666666666666
29.81,52.2,1.3000000000000001e-05,420.0,12.916666666666666
62.8,62.5,3.6e-06,120.0,8.783333333333333
58.2,52.2,3.6e-06,360.0,8.783333333333333
85.47,49.92,3.6e-06,180.0,21.15
35.43,52.2,8.8e-06,360.0,11.566666666666666
40.27,62.5,4.9999999999999996e-06,120.0,13.866666666666667
76.03,52.2,4e-06,360.0,19.6
88.19,68.3,1e-06,720.0,1.45
97.42,56.3,1e-06,840.0,3.45
50.93,69.1,1.7e-05,6420.0,11.25
58.31,68.3,1.7e-05,840.0,11.25
43.14,54.6,1.7e-05,5580.0,11.25
38.77,52.2,1.7e-05,3960.0,11.25
86.8,49.92,2e-06,960.0,6.45
97.53,49.32,2e-06,360.0,4.45
83.78,49.92,1.6e-06,600.0,6.816666666666666
77.56,68.3,1.1e-06,60.0,7.916666666666667
71.39,62.5,1.1e-06,1080.0,7.916666666666667
71.86,54.6,1.1e-06,1080.0,7.916666666666667
35.53,54.6,4.2e-06,180.0,13.083333333333334
30.45,49.92,4.2e-06,660.0,14.083333333333334
45.44,62.5,6.1e-05,120.0,14.933333333333334
96.23,62.5,1.4e-06,60.0,0.0
54.48,62.5,2.8e-06,300.0,10.933333333333334
59.33,62.5,1.1e-06,180.0,17.3
82.87,82.52,1e-06,300.0,0.21666666666666667
71.14,82.52,2.8e-06,120.0,8.666666666666666
73.25,82.52,1.1e-06,180.0,7.616666666666666
81.0,62.5,3.6e-06,420.0,7.266666666666667
71.41,82.52,2.4e-05,180.0,9.316666666666666
69.66,82.52,1e-05,240.0,13.333333333333334
84.27,82.52,1.8e-05,660.0,23.4
84.23,82.52,2.2999999999999996e-06,300.0,1.7166666666666666
88.91,82.52,1.5e-06,60.0,0.2
103.69,62.5,1.8999999999999998e-06,540.0,4.066666666666666
96.73,62.5,1.3e-06,420.0,5.45
75.07,82.52,1.5e-06,420.0,13.616666666666667
62.58,69.1,1.5e-06,120.0,11.616666666666667
77.54,68.3,2.8999999999999998e-06,420.0,19.966666666666665
82.67,62.5,1.1e-06,60.0,7.7
62.0,69.1,5.5e-06,60.0,12.166666666666666
66.4,68.3,5.5e-06,240.0,12.166666666666666
62.81,68.3,2.1e-06,180.0,16.5
63.19,62.5,2.1e-06,600.0,16.5
60.62,52.2,2.1e-06,780.0,16.5
81.84,69.1,1.2e-06,420.0,18.783333333333335
80.83,52.2,1.2e-06,660.0,18.783333333333335
85.0,62.5,1.8e-06,120.0,19.866666666666667
92.17,69.1,4e-06,120.0,20.783333333333335
98.7,52.2,4e-06,240.0,20.783333333333335
103.82,68.3,1.8999999999999998e-06,480.0,3.7
111.95,52.2,1.8999999999999998e-06,720.0,3.7
66.14,69.1,1.3e-06,120.0,10.583333333333334
62.02,68.77,1.3e-06,60.0,12.583333333333334
63.52,69.1,1.3e-06,120.0,14.45
61.88,62.5,2.2999999999999996e-06,480.0,16.166666666666668
75.53,69.1,2.8999999999999998e-06,180.0,17.516666666666666
109.5,62.5,1.6999999999999998e-06,60.0,0.6333333333333333
117.28,54.6,1.6999999999999998e-06,120.0,0.6333333333333333
118.23,54.6,2.2999999999999996e-06,240.0,1.25
103.36,68.3,1.2e-06,180.0,1.5666666666666667
112.25,54.6,1.5e-06,120.0,3.783333333333333
81.97,68.3,1.5e-06,1620.0,20.566666666666666
90.49,62.5,1.5e-06,960.0,20.566666666666666
107.87,62.5,1.8999999999999998e-06,60.0,23.85
61.9,68.3,1e-06,300.0,14.533333333333333
76.81,62.5,1.6e-06,120.0,18.466666666666665
111.92,62.5,2.8e-06,2220.0,1.5
123.36,49.92,1.2e-06,300.0,3.95
108.94,62.5,1.6999999999999998e-06,60.0,21.4
76.69,49.92,1.8e-06,180.0,9.8
134.72,49.92,3e-06,840.0,3.35
90.87,49.92,2.2999999999999996e-06,60.0,8.25
132.16,49.92,1.1000000000000001e-05,4440.0,1.9666666666666666
99.37,68.3,2.6e-06,60.0,22.466666666666665
129.6,49.92,2.8e-06,1920.0,0.65
131.39,49.92,2e-06,60.0,2.3
113.24,68.3,1.5e-06,60.0,2.6
94.64,52.2,1e-06,60.0,6.883333333333334
92.35,68.3,1e-06,360.0,8.816666666666666
81.33,54.6,1e-06,120.0,8.816666666666666
72.08,49.92,1e-06,300.0,9.816666666666666
105.05,49.92,1.4e-06,240.0,21.3
114.31,49.92,2.8e-06,120.0,22.35
130.17,49.92,1.6999999999999998e-06,180.0,1.0833333333333333
130.9,49.92,2.1e-06,360.0,1.5333333333333334
109.48,68.3,1.5e-06,120.0,1.0
57.76,49.92,1.3e-06,180.0,15.966666666666667
98.69,49.92,1.8e-06,480.0,21.266666666666666
47.68,49.92,1.1e-06,60.0,11.85
50.5,47.6,3.3999999999999996e-06,120.0,15.516666666666667
51.82,49.92,1e-06,720.0,11.183333333333334
40.0,47.6,1e-06,180.0,13.683333333333334
47.12,49.92,1e-06,720.0,11.883333333333333
42.73,47.6,1e-06,120.0,14.383333333333333
67.66,49.92,4e-06,1140.0,18.033333333333335
44.05,49.92,1.4e-06,300.0,12.4
41.07,49.92,2.1e-06,60.0,13.8
92.81,49.92,1.5e-06,660.0,20.7
90.48,49.92,1.2e-06,120.0,21.183333333333334
106.96,49.92,2.2e-06,300.0,23.6
110.25,49.92,1.2e-06,120.0,0.45
111.84,49.92,1.3e-06,120.0,1.3166666666666667
66.37,74.7,1.2e-05,60.0,17.733333333333334
104.07,47.6,9.3e-06,300.0,22.15
84.44,47.6,4.5e-06,180.0,6.133333333333334
76.21,47.6,2.8e-06,300.0,6.983333333333333
50.52,47.6,1.3000000000000001e-05,180.0,9.55
42.93,47.6,4e-06,120.0,10.366666666666667
30.68,47.6,5.299999999999999e-06,600.0,12.166666666666666
59.08,74.7,0.00028,240.0,11.016666666666667
51.83,68.77,0.00028,240.0,12.016666666666667
49.12,52.2,0.00028,60.0,10.016666666666667
44.07,49.92,0.00028,360.0,11.016666666666667
55.69,49.32,0.00028,240.0,9.016666666666667
29.92,47.6,0.00028,60.0,13.516666666666667
75.65,74.7,0.00032,60.0,20.183333333333334
76.34,52.2,0.00032,60.0,19.183333333333334
85.27,52.2,1.1e-06,60.0,5.833333333333333
63.17,74.7,1.1e-06,480.0,9.266666666666667
63.65,52.2,1.1e-06,540.0,8.266666666666667
49.73,49.92,6.3e-06,360.0,10.25
33.32,49.92,4.2e-06,420.0,12.4
54.94,74.7,9.9e-06,120.0,12.833333333333334
76.54,49.92,4e-06,300.0,19.783333333333335
84.97,74.7,1.7e-05,1200.0,0.4166666666666667
62.26,74.7,2.7e-06,120.0,9.466666666666667
60.29,74.7,9.6e-06,300.0,10.05
56.34,52.2,9.6e-06,480.0,9.05
51.43,49.92,9.6e-06,720.0,10.05
32.21,52.2,1.3e-06,240.0,13.3
76.56,74.7,1.2e-06,300.0,5.666666666666667
70.92,74.7,1.1e-06,480.0,19.4
65.35,74.7,5e-05,1620.0,8.533333333333333
69.94,52.2,5e-05,1980.0,7.533333333333333
50.94,68.77,2.6e-06,60.0,11.55
77.68,52.2,1.6e-06,180.0,19.55
96.16,54.6,1.1e-06,420.0,22.666666666666668
100.29,52.2,1.1e-06,360.0,22.666666666666668
92.18,52.2,2.1e-06,240.0,4.816666666666666
35.28,54.6,1.6e-06,480.0,14.466666666666667
35.0,52.2,1.6e-06,180.0,14.466666666666667
36.25,49.92,1.6e-06,900.0,15.466666666666667
68.23,54.6,1e-06,240.0,19.133333333333333
83.05,52.2,3e-06,420.0,5.85
80.01,49.92,3e-06,360.0,6.85
48.32,54.6,5.900000000000001e-05,60.0,16.816666666666666
55.23,49.92,5.900000000000001e-05,720.0,17.816666666666666
44.88,68.3,2.9e-05,120.0,14.933333333333334
37.16,49.92,2.9e-05,120.0,15.933333333333334
130.5,49.92,1.6e-06,180.0,0.4166666666666667
98.04,47.6,1.5e-06,2280.0,19.35
83.63,47.6,1.8e-06,1500.0,17.883333333333333
111.56,74.7,1e-06,180.0,1.2166666666666666
89.61,47.6,1e-05,60.0,7.7
65.02,47.6,1.3000000000000001e-05,360.0,14.65
77.04,47.6,8e-06,60.0,8.466666666666667
92.01,72.68,2.4999999999999998e-06,240.0,9.366666666666667
75.55,49.92,1.8999999999999998e-06,720.0,9.783333333333333
110.73,74.7,1.8e-06,420.0,18.6
127.89,74.7,1.2e-06,480.0,1.4166666666666667
106.73,49.92,3e-06,240.0,6.783333333333333
111.59,54.6,2.6e-06,720.0,6.25
151.65,49.92,3.1e-06,480.0,23.883333333333333
142.1,49.92,3.7999999999999996e-06,180.0,3.0
115.59,49.92,1.8e-06,60.0,5.85
95.08,54.6,6.5999999999999995e-06,660.0,8.3
144.69,49.92,2.4e-06,1140.0,22.883333333333333
122.79,68.77,1.5e-06,2820.0,3.6333333333333333
99.49,68.77,4.9000000000000005e-05,180.0,17.166666666666668
109.35,69.1,1.3000000000000001e-05,180.0,5.766666666666667
87.34,69.1,4.9000000000000005e-05,120.0,12.666666666666666
89.62,68.77,7e-06,3480.0,10.516666666666667
134.05,49.92,3.2999999999999997e-06,180.0,22.233333333333334
86.57,69.1,3.1e-05,240.0,11.183333333333334
112.61,49.92,1.2e-05,1080.0,5.283333333333333
122.65,49.92,3e-06,360.0,21.65
89.31,74.7,1.1000000000000001e-05,1380.0,9.016666666666667
88.89,69.1,1.1000000000000001e-05,1260.0,8.016666666666667
83.25,69.1,4.2e-06,1440.0,15.2
121.99,49.92,8.099999999999999e-06,180.0,4.1
95.06,74.7,2.4e-06,1500.0,7.2
97.47,69.1,2.4e-06,1320.0,6.2
93.33,74.7,1.1000000000000001e-05,300.0,7.55
79.92,56.3,1.1000000000000001e-05,60.0,8.55
83.46,69.1,3.1e-06,300.0,9.0
80.36,69.1,2.4999999999999998e-06,540.0,9.75
81.85,74.7,1.6999999999999998e-06,240.0,12.233333333333333
76.87,69.1,1.6999999999999998e-06,300.0,11.233333333333333
110.05,49.92,2e-06,120.0,20.4
95.55,69.1,1.4e-06,1200.0,6.35
121.18,49.92,1.6e-06,60.0,4.033333333333333
81.03,74.7,5.5e-06,480.0,12.583333333333334
109.58,68.77,1.7e-05,240.0,23.933333333333334
92.11,54.6,2.4e-06,1980.0,20.183333333333334
101.14,49.92,2.4e-06,840.0,21.183333333333334
108.51,54.6,1e-06,300.0,22.233333333333334
117.73,49.92,1e-06,120.0,23.233333333333334
124.35,49.92,2.1e-06,420.0,3.0
112.24,49.92,1.4e-06,180.0,5.0
103.96,49.92,1.6999999999999998e-06,780.0,5.983333333333333
71.43,74.7,0.0001,60.0,12.8
55.79,54.6,0.0001,60.0,11.8
47.97,49.92,0.0001,120.0,12.8
54.1,49.32,0.0001,60.0,10.8
78.05,74.7,0.00013000000000000002,300.0,19.45
70.21,74.7,1.8999999999999998e-06,420.0,17.5
53.64,72.68,1.4e-05,60.0,15.516666666666667
45.28,54.6,3.3999999999999996e-06,60.0,16.416666666666668
70.25,74.7,0.00022000000000000003,60.0,6.7
67.05,68.77,0.00022000000000000003,60.0,7.7
70.6,49.92,0.00015000000000000001,180.0,7.866666666666666
83.29,72.68,3.3999999999999996e-06,240.0,2.533333333333333
80.76,74.7,3.0000000000000004e-05,3900.0,3.0833333333333335
79.91,72.68,3.0000000000000004e-05,3780.0,4.083333333333333
76.6,72.68,0.0001,120.0,5.1
65.75,72.68,2.2999999999999996e-06,120.0,7.7
74.36,72.68,3.6e-06,180.0,20.7
82.97,72.68,3.7e-06,420.0,2.7
71.62,72.68,2.7000000000000002e-05,240.0,6.35
46.48,69.1,1.3000000000000001e-05,300.0,12.216666666666667
33.35,49.32,1.3000000000000001e-05,120.0,11.216666666666667
73.94,72.68,3.6e-06,1560.0,5.766666666666667
52.89,72.68,1.4e-05,180.0,15.483333333333333
58.04,68.3,1e-06,540.0,10.8
66.93,68.3,1e-06,300.0,9.233333333333333
79.88,74.7,1.2e-06,60.0,6.983333333333333
88.42,56.3,1.6e-06,600.0,20.266666666666666
115.05,49.92,5.5e-06,420.0,0.03333333333333333
118.3,49.92,2.8e-06,300.0,2.3666666666666667
79.63,74.7,5.900000000000001e-05,180.0,7.283333333333333
42.11,49.92,1.8e-06,240.0,12.4
118.09,49.92,1.1e-06,600.0,0.8
66.23,74.7,3.9e-05,60.0,15.35
92.87,68.3,1.6e-06,1260.0,23.25
70.75,56.3,1.6e-06,180.0,8.833333333333334
62.63,56.3,2.5e-05,300.0,9.9
80.79,54.6,2.5e-05,180.0,7.9
115.83,56.3,2.4e-06,1500.0,2.3
116.96,54.6,2.4e-06,1440.0,0.3
56.07,54.6,1.1000000000000001e-05,120.0,11.15
47.41,49.92,1.1000000000000001e-05,360.0,12.15
114.83,54.6,2.4e-06,120.0,23.4
86.81,74.7,2e-06,120.0,6.966666666666667
88.98,70.48,3.2e-06,2220.0,5.916666666666667
76.28,70.48,1.5e-06,1860.0,8.533333333333333
66.26,69.1,3.2999999999999997e-06,60.0,14.2
114.36,68.77,1.6e-06,1320.0,23.233333333333334
102.58,56.3,2.8999999999999998e-06,180.0,19.633333333333333
120.14,47.6,2.8999999999999998e-06,300.0,21.133333333333333
116.57,70.48,8.7e-05,600.0,21.983333333333334
93.1,74.7,0.00016,12540.0,9.1
93.3,69.1,0.00016,11040.0,8.1
82.33,69.1,5.7e-06,180.0,10.983333333333333
84.55,69.1,6.5e-06,300.0,15.266666666666667
111.77,54.6,4.2e-06,120.0,20.716666666666665
142.69,49.32,9.199999999999998e-06,5340.0,0.8166666666666667
87.3,74.7,0.0001,3060.0,12.133333333333333
92.77,72.68,9.199999999999998e-06,6720.0,9.116666666666667
85.42,72.68,5.299999999999999e-06,240.0,12.283333333333333
85.26,72.68,1e-05,180.0,13.283333333333333
86.19,72.68,4.2000000000000004e-05,240.0,14.25
103.19,64.3,7.1e-05,11160.0,19.416666666666668
87.4,49.32,7.1e-05,1020.0,17.416666666666668
120.89,64.3,2.7000000000000002e-05,9000.0,20.733333333333334
111.57,56.3,1e-05,840.0,5.016666666666667
128.78,69.1,3.9e-06,1020.0,0.7166666666666667
111.81,72.68,2.4e-06,240.0,5.05
96.67,68.3,2.1e-06,420.0,16.8
106.41,68.3,2.8e-06,240.0,18.933333333333334
96.18,68.3,1.3e-06,180.0,10.933333333333334
134.74,68.3,2.1e-06,540.0,2.5
92.1,68.3,2.2999999999999996e-06,660.0,14.733333333333333
94.27,68.3,1.1e-06,180.0,15.966666666666667
